month,division,line,period,num_passengers,additional platform time,additional train time,customer journey time performance
2022-02,A DIVISION,1,offpeak,2771943.7,0.99,0.65,0.885
2022-02,A DIVISION,1,peak,2748296.5,0.85,0.5,0.923
2022-02,A DIVISION,2,offpeak,1935198.4,1.56,0.02,0.837
2022-02,A DIVISION,2,peak,2011101.9,1.21,-0.14,0.873
2022-02,A DIVISION,3,offpeak,1333579.8,1.17,-0.13,0.88
2022-02,A DIVISION,3,peak,1457666,1.01,-0.31,0.9
2022-02,A DIVISION,4,offpeak,2420416.5,1.34,0.35,0.832
2022-02,A DIVISION,4,peak,2456155.4,0.95,-0.02,0.879
2022-02,A DIVISION,5,offpeak,1731783.7,1.3,0.24,0.849
2022-02,A DIVISION,5,peak,1896521.3,1.07,-0.1,0.869
2022-02,A DIVISION,6,offpeak,3117590.2,1.12,0.54,0.885
2022-02,A DIVISION,6,peak,3296894.8,1.14,0.75,0.878
2022-02,A DIVISION,7,offpeak,2614363.1,0.94,0.58,0.864
2022-02,A DIVISION,7,peak,2891762.5,1.03,0.68,0.883
2022-02,B DIVISION,A,offpeak,2284025.4,1.65,1.14,0.755
2022-02,B DIVISION,A,peak,2629281.9,1.47,0.64,0.812
2022-02,B DIVISION,B,offpeak,1194718.5,1.69,0.85,0.778
2022-02,B DIVISION,B,peak,1793061.2,1.75,0.77,0.777
2022-02,B DIVISION,C,offpeak,1411647,1.97,0.61,0.78
2022-02,B DIVISION,C,peak,1253341.6,2.01,0.25,0.798
2022-02,B DIVISION,D,offpeak,2063282,1.95,0.86,0.743
2022-02,B DIVISION,D,peak,1829908.2,1.54,0.54,0.796
2022-02,B DIVISION,E,offpeak,2223508.9,1.38,1.19,0.782
2022-02,B DIVISION,E,peak,2293722.7,1.28,0.41,0.846
2022-02,B DIVISION,F,offpeak,2569471.8,1.43,0.39,0.798
2022-02,B DIVISION,F,peak,2750785.9,1.21,0.01,0.826
2022-02,B DIVISION,G,offpeak,917373.7,1.02,0.67,0.851
2022-02,B DIVISION,G,peak,1018856.8,0.98,0.3,0.826
2022-02,B DIVISION,JZ,offpeak,935522.6,1.47,0.53,0.824
2022-02,B DIVISION,JZ,peak,1024708.7,1.5,0.61,0.818
2022-02,B DIVISION,L,offpeak,1862521.3,0.87,0.45,0.876
2022-02,B DIVISION,L,peak,1829781.4,1.47,0.08,0.909
2022-02,B DIVISION,M,offpeak,1228685.1,1.32,0.52,0.799
2022-02,B DIVISION,M,peak,1316743.4,1.18,0.52,0.811
2022-02,B DIVISION,N,offpeak,1553047,1.6,0.76,0.791
2022-02,B DIVISION,N,peak,1722646.3,1.5,0.7,0.803
2022-02,B DIVISION,Q,offpeak,2050095.3,1.59,0.54,0.79
2022-02,B DIVISION,Q,peak,2136590.9,1.51,0.56,0.804
2022-02,B DIVISION,R,offpeak,2260519.7,1.67,0,0.777
2022-02,B DIVISION,R,peak,2417047.1,1.39,-0.15,0.833
2022-02,B DIVISION,S Fkln,offpeak,135062.2,0.61,-0.01,0.964
2022-02,B DIVISION,S Fkln,peak,134798.7,0.43,-0.02,0.973
2022-02,B DIVISION,S Rock,offpeak,16927.1,0.46,-0.66,0.932
2022-02,B DIVISION,S Rock,peak,11764.3,0.29,-0.59,0.943
2022-02,B DIVISION,W,offpeak,635938.9,0.99,0.12,0.876
2022-02,B DIVISION,W,peak,759219.9,0.85,0.08,0.906
2022-01,A DIVISION,1,offpeak,4359695,0.83,0.55,0.889
2022-01,A DIVISION,1,peak,4278554.8,0.8,0.37,0.916
2022-01,A DIVISION,2,offpeak,2974055.7,1.26,-0.14,0.85
2022-01,A DIVISION,2,peak,3257149.9,0.91,-0.49,0.894
2022-01,A DIVISION,3,offpeak,1546381.5,0.93,0.03,0.869
2022-01,A DIVISION,3,peak,1594085.1,0.91,-0.3,0.887
2022-01,A DIVISION,4,offpeak,3292724.8,1.44,0.24,0.832
2022-01,A DIVISION,4,peak,3314264.4,1.19,-0.02,0.858
2022-01,A DIVISION,5,offpeak,2347591.4,1.43,0.15,0.845
2022-01,A DIVISION,5,peak,2609914,1.21,-0.22,0.863
2022-01,A DIVISION,6,offpeak,4580493,1.27,0.58,0.854
2022-01,A DIVISION,6,peak,4736732.6,1.19,0.66,0.864
2022-01,A DIVISION,7,offpeak,3517621.9,1.17,0.69,0.863
2022-01,A DIVISION,7,peak,3849772.8,1.07,0.5,0.902
2022-01,B DIVISION,A,offpeak,3252333.3,1.74,1.26,0.744
2022-01,B DIVISION,A,peak,3720842.3,1.79,0.65,0.797
2022-01,B DIVISION,B,offpeak,799725.7,1.74,0.89,0.765
2022-01,B DIVISION,B,peak,1137810.5,1.7,1.23,0.747
2022-01,B DIVISION,C,offpeak,2318686.5,2.05,0.63,0.75
2022-01,B DIVISION,C,peak,1947881.6,2.22,0.29,0.779
2022-01,B DIVISION,D,offpeak,3197849.6,1.79,0.38,0.757
2022-01,B DIVISION,D,peak,3032336.6,1.7,0.05,0.769
2022-01,B DIVISION,E,offpeak,3251684.4,1.52,1.08,0.78
2022-01,B DIVISION,E,peak,3307970.2,1.25,-0.08,0.875
2022-01,B DIVISION,F,offpeak,3840656.6,1.15,0.25,0.813
2022-01,B DIVISION,F,peak,3950787.2,1.01,-0.37,0.838
2022-01,B DIVISION,G,offpeak,1224338.1,1.08,0.62,0.847
2022-01,B DIVISION,G,peak,1354386.5,1.01,0.21,0.82
2022-01,B DIVISION,JZ,offpeak,1299941.3,1.2,0.37,0.831
2022-01,B DIVISION,JZ,peak,1410648.3,1.12,0.34,0.818
2022-01,B DIVISION,L,offpeak,2717581.2,0.71,0.18,0.886
