month,car class,mdbf,mdbf_12avg,total_miles,number_of_failures,number_of_cars
2023-02,ADIVISION,155583,169489,11357524,73,2890
2023-02,BDIVISION,119140,121774,15011602,126,3563
2023-02,FLEET,132508,138884,26369127,199,6453
2023-02,R142,134422,196625,4301516,32,1025
2023-02,R142A,232215,181404,928860,4,220
2023-02,R160,215437,285652,6678562,31,1662
2023-02,R179,333942,327118,1335767,4,318
2023-02,R188-CONVERSION,238343,199151,1191714,5,380
2023-02,R46,54693,50026,3609770,66,746
2023-02,R62,191292,143875,1147749,6,315
2023-02,R62A,131083,137482,3408161,26,824
2023-02,R68,142576,121505,1853485,13,425
2023-02,R68A,58193,108001,698311,12,200
2023-01,ADIVISION,181135,170134,13041727,72,2890
2023-01,BDIVISION,105280,121703,16950039,161,3563
2023-01,FLEET,128720,139081,29991766,233,6453
2023-01,R142,198157,203765,4953922,25,1025
2023-01,R142A,345070,175251,1035209,3,220
2023-01,R143,124853,182515,873968,7,212
2023-01,R160,218369,293598,7642932,35,1662
2023-01,R179,392458,295611,1569830,4,318
2023-01,R188-CONVERSION,716360,187414,1432719,2,380
2023-01,R188-NEW,477527,245364,477527,1,126
2023-01,R46,45506,49558,3959062,87,746
2023-01,R62,128289,137300,1282888,10,315
2023-01,R62A,124499,140799,3859462,31,824
2023-01,R68,139877,124761,2098159,15,425
2023-01,R68A,62007,114910,806088,13,200
2022-12,ADIVISION,145498,169290,12803865,88,2890
2022-12,BDIVISION,106620,122807,16526166,155,3563
2022-12,FLEET,120700,139696,29330031,243,6453
2022-12,R142,167634,206264,4861393,29,1025
2022-12,R142A,198220,159852,991100,5,220
2022-12,R143,191042,179231,955209,5,212
2022-12,R160,371706,300347,7434118,20,1662
2022-12,R179,241222,274400,1447333,6,318
2022-12,R188-CONVERSION,132268,172852,1454944,11,380
2022-12,R188-NEW,163169,205027,489507,3,126
2022-12,R46,39476,50106,3868694,98,746
2022-12,R62,126325,140245,1263247,10,315
2022-12,R62A,124789,144445,3743674,30,824
2022-12,R68,110652,122490,1991736,18,425
2022-12,R68A,103635,125110,829076,8,200
2022-11,ADIVISION,152764,173364,12526675,82,2890
2022-11,BDIVISION,128437,126595,16054577,125,3563
2022-11,FLEET,138074,143684,28581252,207,6453
2022-11,R142,146851,218028,4699217,32,1025
2022-11,R142A,203971,163727,1019854,5,220
2022-11,R143,273714,191024,821141,3,212
2022-11,R160,262307,297431,7344597,28,1662
2022-11,R179,756529,278092,1513057,2,318
2022-11,R188-CONVERSION,269361,172767,1346803,5,380
2022-11,R188-NEW,220152,180365,440303,2,126
2022-11,R46,50985,52669,3721872,73,746
2022-11,R62,182155,141769,1275083,7,315
2022-11,R62A,120820,147684,3745415,31,824
2022-11,R68,175098,122330,1926079,11,425
2022-11,R68A,90979,127293,727831,8,200
2022-10,ADIVISION,154348,175734,12656571,82,2890
2022-10,BDIVISION,124075,127672,16253830,131,3563
2022-10,FLEET,135730,145170,28910401,213,6453
2022-10,R142,217476,229989,4784470,22,1025
2022-10,R142A,80725,159531,1049428,13,220
2022-10,R143,458295,185077,916589,2,212
2022-10,R160,280959,299586,7304937,26,1662
2022-10,R179,386206,265047,1544824,4,318
2022-10,R188-CONVERSION,284340,167936,1421701,5,380
2022-10,R188-NEW,155720,176819,467161,3,126
2022-10,R46,50623,53475,3644853,72,746
2022-10,R62,191666,141934,1149996,6,315
2022-10,R62A,114661,149425,3783815,33,824
2022-10,R68,106301,121184,2019722,19,425
2022-10,R68A,102863,138113,822905,8,200
2022-09,ADIVISION,148906,179927,12359201,83,2890
2022-09,BDIVISION,130001,126798,15990111,123,3563
2022-09,FLEET,137618,145751,28349312,206,6453
2022-09,R142,202352,236916,4451752,22,1025
2022-09,R142A,348848,164211,1046543,3,220
2022-09,R143,442384,166867,884768,2,212
2022-09,R160,477144,297525,7157157,15,1662
2022-09,R179,217160,263318,1520121,7,318
2022-09,R188-CONVERSION,235864,173907,1415186,6,380
2022-09,R188-NEW,250567,186258,501134,2,126
2022-09,R46,46699,53302,3642557,78,746
2022-09,R62,123964,140485,1239637,10,315
2022-09,R62A,92624,152967,3704950,40,824
2022-09,R68,134736,118826,2021047,15,425
2022-09,R68A,127410,148797,764461,6,200
