month,division,line,day_type,num_sched_trains,num_actual_trains,service delivered
2015-01,A DIVISION,1,1,1630,1608,0.986503067
2015-01,A DIVISION,1,2,1076,1072,0.996282528
2015-01,A DIVISION,2,1,2125,1988,0.935529412
2015-01,A DIVISION,2,2,1360,1311,0.963970588
2015-01,A DIVISION,3,1,2057,1992,0.968400583
2015-01,A DIVISION,3,2,1120,1082,0.966071429
2015-01,A DIVISION,4,1,2750,2552,0.928
2015-01,A DIVISION,4,2,2276,2129,0.935413005
2015-01,A DIVISION,5,1,2528,2249,0.889636076
2015-01,A DIVISION,5,2,1098,984,0.896174863
2015-01,A DIVISION,6,1,1926,1723,0.894600208
2015-01,A DIVISION,6,2,600,573,0.955
2015-01,A DIVISION,7,1,2450,2301,0.939183673
2015-01,A DIVISION,7,2,1268,1250,0.985804416
2015-01,A DIVISION,S 42nd,1,2884,2772,0.961165049
2015-01,A DIVISION,S 42nd,2,1656,1654,0.998792271
2015-01,B DIVISION,A,1,2525,2425,0.96039604
2015-01,B DIVISION,A,2,1928,1666,0.864107884
2015-01,B DIVISION,B,1,1674,1633,0.975507766
2015-01,B DIVISION,C,1,1500,1440,0.96
2015-01,B DIVISION,C,2,1120,1116,0.996428571
2015-01,B DIVISION,D,1,1738,1687,0.970655926
2015-01,B DIVISION,D,2,1720,1662,0.96627907
2015-01,B DIVISION,E,1,1550,1436,0.926451613
2015-01,B DIVISION,E,2,704,698,0.991477273
2015-01,B DIVISION,F,1,2886,2752,0.953568954
2015-01,B DIVISION,F,2,1358,1348,0.99263623
2015-01,B DIVISION,G,1,880,877,0.996590909
2015-01,B DIVISION,G,2,1728,1717,0.993634259
2015-01,B DIVISION,JZ,1,1020,1012,0.992156863
2015-01,B DIVISION,JZ,2,812,810,0.997536946
2015-01,B DIVISION,L,1,1820,1765,0.96978022
2015-01,B DIVISION,L,2,1473,1465,0.994568907
2015-01,B DIVISION,M,1,1740,1582,0.909195402
2015-01,B DIVISION,M,2,724,721,0.995856354
2015-01,B DIVISION,N,1,1740,1708,0.981609195
2015-01,B DIVISION,N,2,1720,1615,0.938953488
2015-01,B DIVISION,Q,1,1768,1729,0.977941176
2015-01,B DIVISION,Q,2,1342,1330,0.991058122
2015-01,B DIVISION,R,1,1920,1920,1
2015-01,B DIVISION,R,2,1402,1268,0.904422254
2015-01,B DIVISION,S Fkln,1,720,716,0.994444444
2015-01,B DIVISION,S Fkln,2,800,763,0.95375
2015-01,B DIVISION,S Rock,1,440,438,0.995454545
2015-01,B DIVISION,S Rock,2,512,516,1.0078125
2015-01,Systemwide,Systemwide,1,42271,40305,0.953490573
2015-01,Systemwide,Systemwide,2,27797,26750,0.962334065
2015-02,A DIVISION,1,1,1570,1510,0.961783439
2015-02,A DIVISION,1,2,956,938,0.981171548
2015-02,A DIVISION,2,1,2017,1834,0.909271195
2015-02,A DIVISION,2,2,1440,1413,0.98125
2015-02,A DIVISION,3,1,1945,1860,0.956298201
2015-02,A DIVISION,3,2,960,941,0.980208333
2015-02,A DIVISION,4,1,2659,2482,0.933433622
2015-02,A DIVISION,4,2,1546,1458,0.943078913
2015-02,A DIVISION,5,1,2432,2074,0.852796053
2015-02,A DIVISION,5,2,656,543,0.827743902
2015-02,A DIVISION,6,1,2070,1789,0.864251208
2015-02,A DIVISION,6,2,956,933,0.975941423
2015-02,A DIVISION,7,1,2080,1937,0.93125
2015-02,A DIVISION,7,2,1030,1019,0.989320388
2015-02,A DIVISION,S 42nd,1,2774,2749,0.990987743
2015-02,A DIVISION,S 42nd,2,1464,1460,0.99726776
2015-02,B DIVISION,A,1,2410,2312,0.9593361
2015-02,B DIVISION,A,2,1673,1530,0.914524806
2015-02,B DIVISION,B,1,1584,1544,0.974747475
2015-02,B DIVISION,C,1,1425,1361,0.955087719
2015-02,B DIVISION,C,2,1036,1025,0.989382239
2015-02,B DIVISION,D,1,1748,1710,0.97826087
2015-02,B DIVISION,D,2,1337,1298,0.970830217
2015-02,B DIVISION,E,1,1404,1312,0.934472934
2015-02,B DIVISION,E,2,799,792,0.991239049
2015-02,B DIVISION,F,1,2755,2634,0.956079855
2015-02,B DIVISION,F,2,1339,1283,0.958177745
2015-02,B DIVISION,G,1,836,833,0.996411483
2015-02,B DIVISION,G,2,1536,1518,0.98828125
2015-02,B DIVISION,JZ,1,969,935,0.964912281
2015-02,B DIVISION,JZ,2,716,713,0.995810056
2015-02,B DIVISION,L,1,1729,1627,0.941006362
2015-02,B DIVISION,L,2,883,883,1
2015-02,B DIVISION,M,1,1653,1549,0.93708409
2015-02,B DIVISION,M,2,724,721,0.995856354
2015-02,B DIVISION,N,1,1653,1624,0.98245614
2015-02,B DIVISION,N,2,1498,1484,0.990654206
2015-02,B DIVISION,Q,1,1676,1631,0.973150358
2015-02,B DIVISION,Q,2,1532,1418,0.925587467
2015-02,B DIVISION,R,1,1823,1815,0.995611629
2015-02,B DIVISION,R,2,1370,1370,1
2015-02,B DIVISION,S Fkln,1,684,669,0.978070175
2015-02,B DIVISION,S Fkln,2,704,638,0.90625
2015-02,B DIVISION,S Rock,1,414,416,1.004830918
2015-02,B DIVISION,S Rock,2,448,449,1.002232143
2015-02,Systemwide,Systemwide,1,40310,38207,0.947829323
2015-02,Systemwide,Systemwide,2,24603,23827,0.968459131
2015-03,A DIVISION,1,1,1825,1774,0.972054795
2015-03,A DIVISION,1,2,1075,1068,0.993488372
2015-03,A DIVISION,2,1,2364,2184,0.923857868
2015-03,A DIVISION,2,2,1441,1427,0.990284525
2015-03,A DIVISION,3,1,2277,2198,0.965305226
2015-03,A DIVISION,3,2,1440,1463,1.015972222
2015-03,A DIVISION,4,1,3080,2851,0.925649351
2015-03,A DIVISION,4,2,2020,1935,0.957920792
2015-03,A DIVISION,5,1,2816,2459,0.873224432
2015-03,A DIVISION,5,2,944,933,0.988347458
2015-03,A DIVISION,6,1,2398,2192,0.914095079
2015-03,A DIVISION,6,2,1075,1030,0.958139535
2015-03,A DIVISION,7,1,2331,2172,0.931788932
2015-03,A DIVISION,7,2,864,663,0.767361111
2015-03,A DIVISION,S 42nd,1,3212,3117,0.970423412
2015-03,A DIVISION,S 42nd,2,1638,1629,0.994505495
2015-03,B DIVISION,A,1,2793,2647,0.947726459
2015-03,B DIVISION,A,2,1526,1515,0.992791612
